store_nbr,product_nbr,tickets,sales,quantity_dimless
9,296739,10,58740,10
13,298507,121,160091,128
6,737274,113,457598,144
16,838424,132,230736,138
6,895451,40,39708,50
9,666123,298,713108,313
16,123784,73,202153,88
10,939995,30,113190,30
13,984884,682,792746,953
10,648638,13,82699,16
6,344771,837,1210702,1012
0,981963,73,91520,110
4,640545,170,291049,175
16,993377,101,61445,106
10,906598,37,122374,38
2,304423,300,1179504,312
9,857947,240,737636,243
11,833791,1237,2866592,1402
1,940209,149,127723,161
2,319429,15,20112,18
5,390972,544,1514232,586
10,297397,108,386405,117
16,318931,317,572358,394
17,915465,1219,948363,1414
6,996271,10,10920,13
1,937930,1453,364622,1665
6,953911,18,66782,20
16,6563,2326,2003202,3712
4,308303,10,15120,15
9,809204,29,171671,31
13,917136,213,479051,220
5,648092,699,1442568,956
9,991477,12,30156,12
0,680183,270,308637,294
15,6047,103,189409,103
10,960731,60,58598,70
5,805599,306,399924,381
2,284113,1520,1310242,1909
0,351495,29,102193,29
2,588421,156,200387,172
6,28743,1821,2062575,2181
13,869835,108,290677,159
6,659696,424,246121,645
4,1777,183,295620,186
13,859632,188,380828,197
0,939016,58,85360,62
13,881344,97,77415,119
6,913434,651,938230,1325
16,996835,203,181440,216
9,965228,66,272131,84
16,282195,392,935020,445
15,292807,12,31260,12
6,960014,78,33265,118
6,295173,448,1655559,628
4,744037,1593,1563693,1614
5,915709,3,13428,3
10,1011407,7,15392,8
2,291837,60,302479,94
17,898974,310,1265326,365
16,486858,443,897928,556
0,284117,11,46123,11
11,926345,1,3353,1
0,913976,24,109243,25
12,504182,328,273049,423
0,145368,14,23478,16
6,924633,131,160072,147
10,834063,935,1460286,1048
16,113300,582,642553,601
0,4291,1884,1627756,1554
17,5813,46,98016,48
15,898986,959,3853744,1024
12,258954,493,1226525,519
0,1014028,419,803392,481
6,280761,33,67140,36
2,849689,133,152262,143
12,746395,302,311931,310
16,287451,73,106998,74
0,282195,562,1309152,624
13,3763,20312,26010978,32532
19,2161,638,579883,737
0,953783,1106,952345,1150
17,889749,339,344966,359
2,916774,1463,2379122,1570
12,116736,20,43216,37
0,884889,1216,2532376,1314
0,952619,24,81572,25
6,746072,1556,2332349,2180
7,286279,985,702899,1414
11,260010,908,1106673,1164
0,891616,2749,4320870,3100
15,690335,13,28296,13
17,993809,9,19839,9
2,519778,95,215576,107
7,864658,432,227359,537
11,953783,191,189948,222
